drntanguay	#AMIA2014 I'd like to change the Tutorials I signed up for. Anyone know how to do it?	Sun Nov 9 4:54:27 PST 2014   
williamhersh	RT @paulaotero: Papers and topics included in #IYR2014 by @williamhersh #AMIA2014 http://t.co/D6CArvQSXW	Tue Nov 18 6:01:48 PST 2014   
trentrosenbloom	@wareFLO @titusschleyer that made me laug #AMIA2014	Tue Nov 18 6:01:51 PST 2014   
dr_bob	a qualitative study about qualitative studies Getting added value from using qualitative research with RCTs http://t.co/GrlTNJoJuH #amia2014	Tue Nov 18 6:02:05 PST 2014   
uthealth_sbmi	Surprisingly Sunday was a busier day for #AMIA2014 tweets. @wareFLO http://t.co/gmaA4fDix0	Tue Nov 18 6:02:11 PST 2014   
puhfu	#informatics #YIR Jones. HIT: Systematic Review With a Focus on Meaningful Use. @AnnalsofIM http://t.co/ifu16Otq7p #AMIA2014	Tue Nov 18 6:02:12 PST 2014   
williamhersh	RT @jessiet1023: .@williamhersh Zhi et al.- there's still a need for #CDS despite the problems! #AMIA2014	Tue Nov 18 6:02:14 PST 2014   
susanchull	LB04 Stan Huff CIMI goals shared repository of clinical data models browse download http://t.co/7sEIIzNBU3 #amia2014	Tue Nov 18 6:02:15 PST 2014   
lsaldanamd	RT @anordine: Bill Hersch doing a nice job with the clinical informatics year in review. http://t.co/4MUWiobg4Q #amia2014	Tue Nov 18 6:02:15 PST 2014   
askappdev	RT @rusincovitch: LB04 Stan Huff: the outcome of interoperability may be truly more important for sharing knowledge than sharing data. #AMI…	Tue Nov 18 6:02:18 PST 2014   
vote_forpedro	RT @trentrosenbloom: #AMIA2014 #SDC last year's team who placed has gone on and built a real pilot and is studying it, ketamine from @VUMCh…	Tue Nov 18 6:02:27 PST 2014   
wareflo	#EHR usability debate less of an issue if users could customize own workflow, see workflow state, why I advocate HC workflow tech #AMIA2014	Tue Nov 18 6:02:27 PST 2014   
williamhersh	RT @anitabaum: #AMIA2014 CDS still benefical but not enduring or educational @williamhersh year in review http://t.co/R40CvwSYcR	Tue Nov 18 6:02:28 PST 2014   
titusschleyer	#S48 #ACMI Debate The true customer is the person who spends the $$$: the C-Suite. Clinicians and others are left out in the rain. #AMIA2014	Tue Nov 18 6:02:33 PST 2014   
arlenechung	RT @paulaotero: Papers and topics included in #IYR2014 by @williamhersh #AMIA2014 http://t.co/D6CArvQSXW	Tue Nov 18 6:02:33 PST 2014   
trentrosenbloom	“@wareFLO: @titusschleyer "academia influenced MU & #EHR users had higher satisfaction b4 MU? #AMIA2014” perhaps, but vendors implemented	Tue Nov 18 6:02:44 PST 2014   
protact	RT @titusschleyer: #S48 #ACMI Debate A small and shrinking number of vendors sell to academic health centers - that can't be good. #AMIA2014	Tue Nov 18 6:02:46 PST 2014   
trentrosenbloom	RT @wareFLO: .@trentrosenbloom @titusschleyer Well, academia influenced #MeaningfulUse & #EHR users had higher satisfaction b4 MU? #AMIA2014	Tue Nov 18 6:02:55 PST 2014   
dieselcmio	RT @wareFLO: .@trentrosenbloom @titusschleyer Well, academia influenced #MeaningfulUse & #EHR users had higher satisfaction b4 MU? #AMIA2014	Tue Nov 18 6:03:07 PST 2014   
titusschleyer	#S48 #ACMI Debate Vendors sell an implementation process - nobody gets fired for buying the big iron. #AMIA2014	Tue Nov 18 6:03:12 PST 2014   
makarel5	#AMIA2014 w @GenomeGal watching ACMI debate. @rosskoppel pointed and witty as always http://t.co/8GPvrgOb4A	Tue Nov 18 6:03:16 PST 2014   
knitlibrarian	RT @argoneus: #AMIA2014 EHR use rising: "The United States is no longer a complete laggard when it comes to the adoption of electronic heal…	Tue Nov 18 6:03:29 PST 2014   
trentrosenbloom	#AMIA2014 #SDC most patient activities occur between visits	Tue Nov 18 6:03:32 PST 2014   
johnsharp	5 steps toward a learning health system | Healthcare IT News http://t.co/Ko7azmqoNG #AMIA2014 keynote	Tue Nov 18 6:03:49 PST 2014   
lsaldanamd	RT @trentrosenbloom: #AMIA2014 #SDC how do we increase patient engagement, shared decision-making, communication while reducing burden on p…	Tue Nov 18 6:03:53 PST 2014   
dbarthjones	RT @healthhashtags: Today's Healthcare Conferences: #ACR14 #APHA14 #AMIA2014 #AHA14 #P4C2014 #DIAJapanAM2014 #TECS #DHC14 http://t.co/N93oe…	Tue Nov 18 6:04:00 PST 2014   
protact	RT @titusschleyer: #S48 #ACMI Debate The true customer is the person who spends the $$$: the C-Suite. Clinicians and others are left out in…	Tue Nov 18 6:04:06 PST 2014   
puhfu	#Informatics #YIR Encinosa. Meaningful Use IT reduces hospital-caused ADE. http://t.co/mVVboWtuDt #AMIA2014	Tue Nov 18 6:04:14 PST 2014   
susanchull	RT @JohnSharp: 5 steps toward a learning health system | Healthcare IT News http://t.co/Ko7azmqoNG #AMIA2014 keynote	Tue Nov 18 6:04:19 PST 2014   
katefu	RT @trentrosenbloom: #AMIA2014 #SDC What about children who don't want to draw, not comfortable with drawing? Need to include patient prefe…	Tue Nov 18 6:04:20 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer EHR vendors implemented what #MeaningfulUse dictated, not what users wanted, why usability is bad #AMIA2014	Tue Nov 18 6:04:21 PST 2014   
trentrosenbloom	#AMIA2014 #SDC design solution based on patient-defined needs: "patients want their data...information"	Tue Nov 18 6:04:21 PST 2014   
genomegal	RT @UTHealth_SBMI: ACMI Debate, 8:30a, International Ballroom West. #AMIA2014	Tue Nov 18 6:04:33 PST 2014   
titusschleyer	#S48 #ACMI Debate Big vendors are muscling out startups - and much startup activity is in #consumerhealth #AMIA2014	Tue Nov 18 6:04:39 PST 2014   
kimkater	Joan Ash qualitative comes of age #informaticsyearinreview formative eval for fast moving field & variables are not well defined #amia2014	Tue Nov 18 6:04:47 PST 2014   
trentrosenbloom	RT @wareFLO: .@trentrosenbloom @titusschleyer EHR vendors implemented what #MeaningfulUse dictated, not what users wanted, why usability is…	Tue Nov 18 6:04:49 PST 2014   
titusschleyer	#S48 #ACMI Debate The dinorsaurs will just not die. There is no chance for the small furry mammals. #AMIA2014	Tue Nov 18 6:05:22 PST 2014   
trentrosenbloom	@wareFLO @titusschleyer MU defined the what, vendors the how. It is possible to implement while also being usable #AMIA2014	Tue Nov 18 6:05:24 PST 2014   
katefu	RT @jd_pdx: #S47 Using Draw-and-tell conversation to enable providers to better diagnose pediatric headaches #AMIA2014 @katefu	Tue Nov 18 6:05:26 PST 2014   
dbarthjones	RT @GenomeGal: "If the screen shot is of an error, what kind of intellectual property are they protecting?!" Great off the cuff comment in …	Tue Nov 18 6:05:27 PST 2014   
arlenechung	RT @trentrosenbloom: #AMIA2014 #SDC most patient activities occur between visits	Tue Nov 18 6:05:29 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer made you laugh because you disagree or because you agree? #AMIA2014	Tue Nov 18 6:05:37 PST 2014   
arlenechung	RT @trentrosenbloom: #AMIA2014 #SDC design solution based on patient-defined needs: "patients want their data...information"	Tue Nov 18 6:05:40 PST 2014   
fridsma	RT @AMIAinformatics: #AMIA2014 Daily Update: Tuesday, November 18, EHR-2020, High School Scholars, Posters, AMIA's Got Talent and more - ht…	Tue Nov 18 6:05:40 PST 2014   
csvitila	RT @DeloitteHealth: See our #healthinfomatics poster presentation in the exhibit hall:http://t.co/LZ4SspmPoA #AMIA2014	Tue Nov 18 6:05:53 PST 2014   
genomegal	"That's really the calcified state of electronic medical records system..." Getting some great (sad) quotes about HIT. #S48 #AMIA2014	Tue Nov 18 6:05:57 PST 2014   
togrli	#AMIA2014 "no small furry animal to make the dinosaurs extinct" in area of Health IT/EHR	Tue Nov 18 6:06:01 PST 2014   
trentrosenbloom	#AMIA2014 #SDC solution for design solution #2 http://t.co/tatCU4csxX	Tue Nov 18 6:06:05 PST 2014   
devinformatics	JA- Must have "fundamental understanding" of consumer needs at various stages of their interactions with healthcare system. #AMIA2014	Tue Nov 18 6:06:15 PST 2014   
puhfu	#informatics #YIR Wright. Medicare EHR Incentive Program: provider performance. @HSR_HRET http://t.co/jW1mBOiOkW #AMIA2014	Tue Nov 18 6:06:19 PST 2014   
trentrosenbloom	“@wareFLO: @titusschleyer made you laugh because you disagree or because you agree? #AMIA2014” cuz it was a fantastic comment	Tue Nov 18 6:06:33 PST 2014   
paulaotero	Ash on understanding users before design #IYR2014 #AMIA2014 http://t.co/yHR8n45j4d	Tue Nov 18 6:06:35 PST 2014   
trentrosenbloom	RT @wareFLO: .@trentrosenbloom @titusschleyer made you laugh because you disagree or because you agree? #AMIA2014	Tue Nov 18 6:06:38 PST 2014   
arlenechung	#sdc #AMIA2014 like that the solution screens for literacy at sign up	Tue Nov 18 6:06:44 PST 2014   
dcihmfp	RT @titusschleyer: #S48 #ACMI Debate gets underway. Opening shots have been fired. #AMIA2014 http://t.co/yhhDBYb5uV	Tue Nov 18 6:06:57 PST 2014   
bcg4duke	RT @paulaotero: EHR usage continues to increase in the US and MU results #IYR2014 #AMIA2014 by @williamhersh http://t.co/32EshLbCqi	Tue Nov 18 6:07:21 PST 2014   
bradcrotty	@Columbia #SDC team tackles designing portals to integrate difft sources of health data, does setup based on #healthliteracy #AMIA2014	Tue Nov 18 6:07:22 PST 2014   
uthealth_sbmi	A sample design from the #AMIA2014 Student Design Challenge. http://t.co/1FTgXFUNvK	Tue Nov 18 6:07:27 PST 2014   
trentrosenbloom	#AMIA2014 #SDC My Health timeline view of patient's data, outcomes. Varies based on literacy. http://t.co/A9G3ue3x7O	Tue Nov 18 6:07:42 PST 2014   
titusschleyer	#S48 #ACMI Debate #HITECH was a HUGE subsidy for the #HealthIT industry #AMIA2014	Tue Nov 18 6:07:48 PST 2014   
arieldeardorff	I love hearing academics swoon over quality research methods #AMIA2014 #informaticsyearinreview	Tue Nov 18 6:07:49 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer for usability what (goals) can be even more important than how (means) MU/users different goals #AMIA2014	Tue Nov 18 6:07:51 PST 2014   
jessiet1023	#YIR JOan Ash presented a PGX CDS paper i missed- anyone get the ref info? #AMIA2014	Tue Nov 18 6:07:53 PST 2014   
trentrosenbloom	RT @GenomeGal: "That's really the calcified state of electronic medical records system..." Getting some great (sad) quotes about HIT. #S48 …	Tue Nov 18 6:07:55 PST 2014   
puhfu	#informatics #YIR Gabriel. Progress and challenges: implementation, use of HIT among CAHs. @Health_Affairs http://t.co/6z9OCSOnGK #AMIA2014	Tue Nov 18 6:08:01 PST 2014   
trentrosenbloom	RT @wareFLO: .@trentrosenbloom @titusschleyer for usability what (goals) can be even more important than how (means) MU/users different goa…	Tue Nov 18 6:08:05 PST 2014   
ukhip	RT @puhfu: #informatics #YIR King. Clinical benefits of electronic health record use http://t.co/anR8yeb7k1 #AMIA2014	Tue Nov 18 6:08:08 PST 2014   
titusschleyer	#S48 #ACMI Debate Furry mammals have a chance - Just look at @Salesforce challenging industry giants like SAP etc. #AMIA2014	Tue Nov 18 6:08:37 PST 2014   
dieselcmio	“@wareFLO: "EHR vendors implemented what #MeaningfulUse dictated, not what users wanted" best tweet of #AMIA2014	Tue Nov 18 6:08:42 PST 2014   
blancahimes	Theme of papers by JA so far: we need to understand consumers before and during design of systems #AMIA2014	Tue Nov 18 6:08:47 PST 2014   
arlenechung	#sdc #AMIA2014 viz of data for pts based on literacy level from the Columbia univ team http://t.co/tDV8StRYOK	Tue Nov 18 6:08:53 PST 2014   
trentrosenbloom	#AMIA2014 #SDC can set goals either independently, or shared with providers http://t.co/zODLstuSuy	Tue Nov 18 6:08:57 PST 2014   
jessiet1023	JA (and noticed elsewhere)- emerging theme of TRUST around informatics, health IT #AMIA2014	Tue Nov 18 6:09:01 PST 2014   
devinformatics	JA- How do you balance standardization with personalization in application/portal design? #AMIA2014	Tue Nov 18 6:09:07 PST 2014   
puhfu	#informatics #YIR Samal. Meaningful Use and Quality of Care @JAMAInternalMed http://t.co/4m5rr2QvSr #AMIA2014	Tue Nov 18 6:09:07 PST 2014   
arlenechung	RT @puhfu: #informatics #YIR Gabriel. Progress and challenges: implementation, use of HIT among CAHs. @Health_Affairs http://t.co/6z9OCSOnG…	Tue Nov 18 6:09:10 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer OK.... you have seen the reports EHR user satisfaction declined under #MeaningfulUse, right? #AMIA2014	Tue Nov 18 6:09:11 PST 2014   
hwcir	Come visit us today during exhibit floor hours. Booth 315/317. #AMIA2014	Tue Nov 18 6:09:15 PST 2014   
uthealth_sbmi	Another sample from the #AMIA2014 Student Design Challenge. http://t.co/b9gGSnfcjU	Tue Nov 18 6:09:21 PST 2014   
wareflo	RT @dieselCMIO: “@wareFLO: "EHR vendors implemented what #MeaningfulUse dictated, not what users wanted" best tweet of #AMIA2014	Tue Nov 18 6:09:22 PST 2014   
susanchull	RT @puhfu: #informatics #YIR Gabriel. Progress and challenges: implementation, use of HIT among CAHs. @Health_Affairs http://t.co/6z9OCSOnG…	Tue Nov 18 6:09:23 PST 2014   
titusschleyer	#S48 #ACMI Debate #HealthIT customers buy not just software, they are buying improved organizational performance! #AMIA2014	Tue Nov 18 6:09:29 PST 2014   
uthealth_sbmi	RT @arlenechung: #sdc #AMIA2014 viz of data for pts based on literacy level from the Columbia univ team http://t.co/tDV8StRYOK	Tue Nov 18 6:09:50 PST 2014   
trentrosenbloom	RT @wareFLO: .@trentrosenbloom @titusschleyer OK.... you have seen the reports EHR user satisfaction declined under #MeaningfulUse, right? …	Tue Nov 18 6:09:54 PST 2014   
sairanhaque	Interesting commentary on theory generation and testing by Joan Ash #AMIA2014	Tue Nov 18 6:09:58 PST 2014   
knitlibrarian	RT @blancahimes: Theme of papers by JA so far: we need to understand consumers before and during design of systems #AMIA2014	Tue Nov 18 6:09:59 PST 2014   
bradcrotty	RT @puhfu: #informatics #YIR Samal. Meaningful Use and Quality of Care @JAMAInternalMed http://t.co/4m5rr2QvSr #AMIA2014	Tue Nov 18 6:10:00 PST 2014   
wareflo	.@dieselCMIO No. Your tweet saying my tweet was the best tweet of #AMIA2014 was the best tweet of #AMIA2014 Thank you kind Sir!	Tue Nov 18 6:10:13 PST 2014   
trentrosenbloom	@wareFLO @titusschleyer depends on the EHR system... Please do share the data with twitter verse #AMIA2014	Tue Nov 18 6:10:31 PST 2014   
titusschleyer	#S48 #ACMI Debate Interaction of #academia and #HealthIT industry is substantial and self-evident! #AMIA2014	Tue Nov 18 6:10:35 PST 2014   
arlenechung	RT @trentrosenbloom: #AMIA2014 #SDC can set goals either independently, or shared with providers http://t.co/zODLstuSuy	Tue Nov 18 6:11:08 PST 2014   
devinformatics	RT @blancahimes: Theme of papers by JA so far: we need to understand consumers before and during design of systems #AMIA2014	Tue Nov 18 6:11:14 PST 2014   
arlenechung	RT @puhfu: #informatics #YIR Samal. Meaningful Use and Quality of Care @JAMAInternalMed http://t.co/4m5rr2QvSr #AMIA2014	Tue Nov 18 6:11:15 PST 2014   
bcg4duke	RT @puhfu: #informatics #YIR Gabriel. Progress and challenges: implementation, use of HIT among CAHs. @Health_Affairs http://t.co/6z9OCSOnG…	Tue Nov 18 6:11:15 PST 2014   
puhfu	#informatics #YIR Heisey-Grove. Challenges to EHR adoption and MU @MedicalCareLWW http://t.co/247mXHm5Z8 #AMIA2014	Tue Nov 18 6:11:28 PST 2014   
dcihmfp	RT @UTHealth_SBMI: A sample design from the #AMIA2014 Student Design Challenge. http://t.co/1FTgXFUNvK	Tue Nov 18 6:11:28 PST 2014   
devinformatics	RT @dieselCMIO: “@wareFLO: "EHR vendors implemented what #MeaningfulUse dictated, not what users wanted" best tweet of #AMIA2014	Tue Nov 18 6:11:39 PST 2014   
titusschleyer	#S48 #ACMI Debate Many academics involved in #HealthIT startups (co-founders, licensing deals, etc.) #AMIA2014	Tue Nov 18 6:11:42 PST 2014   
dcihmfp	RT @bradcrotty: @Columbia #SDC team tackles designing portals to integrate difft sources of health data, does setup based on #healthliterac…	Tue Nov 18 6:11:45 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer stats for more than one EHR, plus, you gotta admit, constant w/anecdotal evidence (docs bitching) #AMIA2014	Tue Nov 18 6:12:00 PST 2014   
protact	RT @bradcrotty: @Columbia #SDC team tackles designing portals to integrate difft sources of health data, does setup based on #healthliterac…	Tue Nov 18 6:12:20 PST 2014   
trentrosenbloom	#AMIA2014 #SDC trust is an important part of design, need to ensure security, dynamaticity	Tue Nov 18 6:12:21 PST 2014   
arlenechung	RT @origamidoc: The dulcet tones of the hammered dulcimer at #AMIA2014 #AMIAsGotTalent Great to see Martha perform again. http://t.co/0I4…	Tue Nov 18 6:12:25 PST 2014   
trentrosenbloom	RT @wareFLO: .@trentrosenbloom @titusschleyer stats for more than one EHR, plus, you gotta admit, constant w/anecdotal evidence (docs bitch…	Tue Nov 18 6:12:32 PST 2014   
puhfu	#Informatics #YIR Zhi. Landscape of inappropriate laboratory testing @PLOSONE http://t.co/KMJDUFgYVO #AMIA2014	Tue Nov 18 6:12:41 PST 2014   
uthealth_sbmi	@wareFLO This morning seems to be much busier for #AMIA2014 on Twitter.	Tue Nov 18 6:12:44 PST 2014   
jessiet1023	RT @puhfu: #Informatics #YIR Zhi. Landscape of inappropriate laboratory testing @PLOSONE http://t.co/KMJDUFgYVO #AMIA2014	Tue Nov 18 6:12:59 PST 2014   
dr_bob	literary theory in informatics! Narratives of empowerment and compliance in online patient support groups. http://t.co/Chv9ZbYood #amia2014	Tue Nov 18 6:13:01 PST 2014   
titusschleyer	#S48 #ACMI Debate We are about midstream in the development of EMRs - we got the basics right and now can move forward! #AMIA2014	Tue Nov 18 6:13:01 PST 2014   
wareflo	my most/least popular post > Fixing Our Health IT Mess: Are Business Models or Technology Models to Blame? http://t.co/911Uz6ZJ1q #AMIA2014	Tue Nov 18 6:13:55 PST 2014   
trentrosenbloom	@wareFLO @titusschleyer which docs? Again, depends on EHR system, install. Academia also encouraged usability... #AMIA2014	Tue Nov 18 6:13:55 PST 2014   
jessiet1023	JA- study on nursing documentation (and lack of such studies) My personal experience in NICU would suggest highly important! #AMIA2014	Tue Nov 18 6:14:15 PST 2014   
titusschleyer	#S48 #ACMI Debate Epic, the market leader, has taken a lot of heat. But, they now have opened up their interfaces. #AMIA2014	Tue Nov 18 6:14:18 PST 2014   
lrasmus	RT @trentrosenbloom: #AMIA2014 #SDC trust is an important part of design, need to ensure security, dynamaticity	Tue Nov 18 6:14:19 PST 2014   
puhfu	#Informatics #YIR Wolfson. Engaging physicians, consumers about treatment overuse and waste @AcadMedJournal http://t.co/yEnXDE5lBm #AMIA2014	Tue Nov 18 6:14:27 PST 2014   
dr_bob	literary theory in informatics! Narratives of empowerment and compliance in online patient support groups http://t.co/Chv9ZbYood #amia2014	Tue Nov 18 6:14:30 PST 2014   
rusincovitch	LB04 Charles Jaffe: key element of FHIR is embodied in its name (*fast* health interoperable resources) #AMIA2014	Tue Nov 18 6:14:34 PST 2014   
dcihmfp	RT @trentrosenbloom: #AMIA2014 #SDC trust is an important part of design, need to ensure security, dynamaticity	Tue Nov 18 6:14:34 PST 2014   
dcihmfp	RT @UTHealth_SBMI: Another sample from the #AMIA2014 Student Design Challenge. http://t.co/b9gGSnfcjU	Tue Nov 18 6:14:44 PST 2014   
uthealth_sbmi	Sintesi from @Columbia Dept. of Biomedical Informatics for the #AMIA2014 Student Design Challenge was pretty impressive. Great job!	Tue Nov 18 6:14:47 PST 2014   
dieselcmio	3 things necessary for PCP to review/analyze #PGHD outside of traditional office visit #AMIA2014 http://t.co/JMcS3e2m7w	Tue Nov 18 6:14:53 PST 2014   
dcihmfp	RT @titusschleyer: #S48 #ACMI Debate #HealthIT customers buy not just software, they are buying improved organizational performance! #AMIA2…	Tue Nov 18 6:14:54 PST 2014   
titusschleyer	#S48 #ACMI Debate Epic has had a big library of shared ordersets that were/are shared within their customer base. #AMIA2014	Tue Nov 18 6:15:03 PST 2014   
trentrosenbloom	#AMIA2014 #SDC Sintesi system is a data aggregator, assembles clinical information for patients, dynamically adjusts based on literacy	Tue Nov 18 6:15:05 PST 2014   
trentrosenbloom	RT @titusschleyer: #S48 #ACMI Debate Epic, the market leader, has taken a lot of heat. But, they now have opened up their interfaces. #AMIA…	Tue Nov 18 6:15:27 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer academic usability? We need market to encourage usability, could not do so during #MeaningfulUse #AMIA2014	Tue Nov 18 6:15:29 PST 2014   
knitlibrarian	S46 patients/consumers less interested in #telehealth than providers...found during research but wondering in what context? #AMIA2014	Tue Nov 18 6:15:48 PST 2014   
arlenechung	RT @trentrosenbloom: #AMIA2014 #SDC Sintesi system is a data aggregator, assembles clinical information for patients, dynamically adjusts b…	Tue Nov 18 6:16:00 PST 2014   
bradcrotty	@jep4s and Columbia team aim to curate health info to provide holistic view of health for pts - based on pt pref and literacy #AMIA2014	Tue Nov 18 6:16:07 PST 2014   
uthealth_sbmi	RT @wareFLO: my most/least popular post > Fixing Our Health IT Mess: Are Business Models or Technology Models to Blame? http://t.co/911Uz6Z…	Tue Nov 18 6:16:07 PST 2014   
titusschleyer	#S48 #ACMI Debate Epic is helping Northshore University Health System innovate. Examples of commercial spinoffs from there. #AMIA2014	Tue Nov 18 6:16:18 PST 2014   
arlenechung	RT @knitlibrarian: S46 patients/consumers less interested in #telehealth than providers...found during research but wondering in what conte…	Tue Nov 18 6:16:25 PST 2014   
arlenechung	RT @titusschleyer: #S48 #ACMI Debate Epic is helping Northshore University Health System innovate. Examples of commercial spinoffs from the…	Tue Nov 18 6:16:38 PST 2014   
wareflo	.@titusschleyer EHR basics are wrong, document-centric instead of workflow-centric, need a EHR platform paradigm shift IMHO #AMIA2014	Tue Nov 18 6:16:42 PST 2014   
katefu	RT @titusschleyer: #S48 #ACMI Debate Epic is helping Northshore University Health System innovate. Examples of commercial spinoffs from the…	Tue Nov 18 6:17:46 PST 2014   
jessiet1023	MT @wareFLO: .@titusschleyer EHR basics-vdocument-centric instead of workflow-centric, need a EHR platform paradigm shift IMHO #AMIA2014 YES	Tue Nov 18 6:18:02 PST 2014   
protact	#AMIA2014 #DesignChallenge pitch: #sintesi tailors information to #patient based on their #health #literacy. #SDC http://t.co/xhI70SWLAU	Tue Nov 18 6:18:02 PST 2014   
trentrosenbloom	“@wareFLO: @titusschleyer academic usability? We need market to encourage usability, could not do so during #MU #AMIA2014” I disagree	Tue Nov 18 6:18:04 PST 2014   
titusschleyer	#S48 #ACMI Debate The significant challenge for vendors is to satisfy a large customer base. #AMIA2014	Tue Nov 18 6:18:07 PST 2014   
trentrosenbloom	RT @wareFLO: .@trentrosenbloom @titusschleyer academic usability? We need market to encourage usability, could not do so during #Meaningful…	Tue Nov 18 6:18:08 PST 2014   
bradcrotty	MT @puhfu: #Informatics #YIR Zhi & @dcihmfp's Arnaout Landscape of inappropriate lab testing @PLOSONE http://t.co/BhKO2HCK8t #AMIA2014	Tue Nov 18 6:18:18 PST 2014   
robertfreimuth	RT @wareFLO: .@titusschleyer EHR basics are wrong, document-centric instead of workflow-centric, need a EHR platform paradigm shift IMHO #A…	Tue Nov 18 6:18:18 PST 2014   
jessiet1023	RT @trentrosenbloom: “@wareFLO: @titusschleyer academic usability? We need market to encourage usability, could not do so during #MU #AMIA2…	Tue Nov 18 6:18:33 PST 2014   
wareflo	.@UTHealth_SBMI TX for RT! Your research is in the few focusing on a wide variety of interesting EHR workflow usability angles #AMIA2014	Tue Nov 18 6:18:49 PST 2014   
titusschleyer	#S48 #ACMI Debate Do we all believe the big vendors have all fully committed to open architectures? Laughter in the audience. #AMIA2014	Tue Nov 18 6:19:03 PST 2014   
robertfreimuth	Do the posters in your itinerary have board numbers listed? Find a poster by title: http://t.co/HXut2oaze5 #AMIA2014	Tue Nov 18 6:19:08 PST 2014   
rickybloomfield	FYI, #FHIR & @SMARTHealthIT are the future of #healthcare interoperability. Might as well get on board! #AMIA2014	Tue Nov 18 6:19:09 PST 2014   
uthealth_sbmi	RT @wareFLO: .@UTHealth_SBMI TX for RT! Your research is in the few focusing on a wide variety of interesting EHR workflow usability angles…	Tue Nov 18 6:19:22 PST 2014   
trentrosenbloom	@wareFLO @titusschleyer some vendors chose to implement MU in a usable way, some did not. They made a choice with their resources #AMIA2014	Tue Nov 18 6:19:23 PST 2014   
motorcycle_guy	Of 57 #HL7 work groups, 35 are working with #FHIR according to CEO Chuck Jaffe at #AMIA2014	Tue Nov 18 6:19:26 PST 2014   
devinformatics	JA- Need to look at unintended consequences of systems like EHRs. #AMIA2014	Tue Nov 18 6:19:27 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer free country :) #AMIA2014	Tue Nov 18 6:19:33 PST 2014   
puhfu	#Informatics #YIR Litvin. EHR CDS to improve abx rx for resp infx http://t.co/NXNNFy5qbe #AMIA2014	Tue Nov 18 6:19:35 PST 2014   
bradcrotty	RT @motorcycle_guy: Of 57 #HL7 work groups, 35 are working with #FHIR according to CEO Chuck Jaffe at #AMIA2014	Tue Nov 18 6:19:46 PST 2014   
dmice_deb	RT @trentrosenbloom: #AMIA2014 #SDC Drawn Together included design, development and evaluation, including paper-based, mobile and EHR-based…	Tue Nov 18 6:19:58 PST 2014   
titusschleyer	#S48 #ACMI Debate Analogy to App store breaks down: As apps get closer to vendor core modules, will they let them live? #AMIA2014	Tue Nov 18 6:20:10 PST 2014   
susanchull	RT @motorcycle_guy: Of 57 #HL7 work groups, 35 are working with #FHIR according to CEO Chuck Jaffe at #AMIA2014	Tue Nov 18 6:20:16 PST 2014   
trentrosenbloom	“@wareFLO: @titusschleyer free country :) #AMIA2014” amen, brother Charles! :)	Tue Nov 18 6:20:25 PST 2014   
trentrosenbloom	RT @titusschleyer: #S48 #ACMI Debate Analogy to App store breaks down: As apps get closer to vendor core modules, will they let them live? …	Tue Nov 18 6:20:35 PST 2014   
supten	RT @motorcycle_guy: Of 57 #HL7 work groups, 35 are working with #FHIR according to CEO Chuck Jaffe at #AMIA2014	Tue Nov 18 6:20:36 PST 2014   
wareflo	.@trentrosenbloom @titusschleyer no, EHR vendors did not chose what to do w/their resources, #MeaningfulUse hijacked SW dev cycle #AMIA2014	Tue Nov 18 6:20:39 PST 2014   
louise_schaper	I want less clicks in my system - that is innovation to me :ACMI debate #AMIA2014	Tue Nov 18 6:20:40 PST 2014   
danreus	RT @wareFLO: .@titusschleyer EHR basics are wrong, document-centric instead of workflow-centric, need a EHR platform paradigm shift IMHO #A…	Tue Nov 18 6:20:46 PST 2014   
wareflo	RT @trentrosenbloom: “@wareFLO: @titusschleyer free country :) #AMIA2014” amen, brother Charles! :)	Tue Nov 18 6:20:52 PST 2014   
knitlibrarian	RT @jessiet1023: MT @wareFLO: .@titusschleyer EHR basics-vdocument-centric instead of workflow-centric, need a EHR platform paradigm shift …	Tue Nov 18 6:21:00 PST 2014   
titusschleyer	#S48 #ACMI Debate #HealthIT vendors will just rewrite the stellar" apps" and put their developers out of business. #AMIA2014	Tue Nov 18 6:21:05 PST 2014   
arlenechung	Up next #sdc #AMIA2014 http://t.co/JP4jEaMP59	Tue Nov 18 6:21:12 PST 2014   
rusincovitch	LB04 Charles Jaffe: FHIR focuses on implementation & community of implementation, a utilitarian approach to development. #AMIA2014	Tue Nov 18 6:21:17 PST 2014   
wareflo	@dieselCMIO trouble maker #AMIA2014	Tue Nov 18 6:21:28 PST 2014   
medexofme	RT @wareFLO: .@titusschleyer EHR basics are wrong, document-centric instead of workflow-centric, need a EHR platform paradigm shift IMHO #A…	Tue Nov 18 6:21:28 PST 2014   
trentrosenbloom	#AMIA2014 #SDC design #3, to improve communication, usability, engagement http://t.co/uF9YLKxOLU	Tue Nov 18 6:21:28 PST 2014   
paulaotero	Patients access to their medical records #IYR2014 #AMIA2014 http://t.co/B2NtpW3kNS	Tue Nov 18 6:21:32 PST 2014   
